Date,AAPL.Close,TSLA.Close,^NSEI.Close,AAPL.High,TSLA.High,^NSEI.High,AAPL.Low,TSLA.Low,^NSEI.Low,AAPL.Open,TSLA.Open,^NSEI.Open,AAPL.Volume,TSLA.Volume,^NSEI.Volume
2025-11-21,270.98651123046875,391.0899963378906,26068.150390625,272.8230952896135,402.79998779296875,26179.19921875,265.17732758833057,383.760009765625,26052.19921875,265.4568071090486,402.32000732421875,26109.55078125,59030800.0,100460600.0,235600.0
2025-11-24,275.4083557128906,417.7799987792969,25959.5,276.48633959077114,421.7200012207031,26142.80078125,270.397645153795,401.0899963378906,25912.150390625,270.397645153795,402.1700134277344,26122.80078125,65585800.0,96806400.0,464700.0
2025-11-25,276.45635986328125,419.3999938964844,25884.80078125,279.8600396675645,420.4800109863281,26032.599609375,274.7395483878858,405.95001220703125,25857.5,274.75950033189645,414.4200134277344,25998.5,46914200.0,71915600.0,260500.0
2025-11-26,277.0353088378906,426.5799865722656,26205.30078125,279.0116481613461,426.94000244140625,26215.150390625,276.11703191175064,416.8900146484375,25842.94921875,276.4464065684995,423.95001220703125,25842.94921875,33431400.0,63463000.0,275300.0
2025-11-27,,,26215.55078125,,,26310.44921875,,,26141.900390625,,,26261.25,,,240300.0
2025-11-28,278.3328857421875,430.1700134277344,26202.94921875,278.4826014787427,432.92999267578125,26280.75,275.4781737009374,426.20001220703125,26172.400390625,276.7458380127342,426.5899963378906,26237.44921875,20135600.0,36252900.0,202500.0
2025-12-01,282.57501220703125,430.1400146484375,26175.75,282.89442609469603,433.6600036621094,26325.80078125,275.62792768573877,425.2900085449219,26124.19921875,277.4944549964911,425.32000732421875,26325.80078125,46587700.0,57463600.0,213800.0
2025-12-02,285.6592712402344,429.239990234375,26032.19921875,286.86701880065203,436.79998779296875,26154.599609375,282.10587559562896,422.1199951171875,25997.849609375,282.47518456741903,430.80999755859375,26087.94921875,53669500.0,69336600.0,254800.0
2025-12-03,283.623046875,446.739990234375,25986.0,288.0847586222564,447.9200134277344,26066.44921875,282.77461708045536,431.1099853515625,25891.0,285.6692634925469,432.1000061035156,26004.900390625,43538700.0,87483000.0,265700.0
2025-12-04,280.179443359375,454.5299987792969,26033.75,284.20196835267484,454.6300048828125,26098.25,278.07334059490756,445.3900146484375,25938.94921875,283.5731318378766,449.94000244140625,25981.849609375,43989100.0,71906500.0,248100.0
